Date,Description,Amount Debit,Amount Credit,Balance
5/14/2026,HY-VEE OLATHE 14 OLATHE KS 23088301 6159 21 XX4271 DEBIT CARD 05/13 17:25,-4.39,,298.67
5/13/2026,OPENAI OPENAI *CH ST-S6C0U6L0E4V9,-20,,303.06
5/12/2026,HY-VEE OLATHE 14 OLATHE KS 46444897 6699 85 XX4271 DEBIT CARD 05/11 17:32,-92.1,,323.06
5/11/2026,COSTCO GAS #034 LENEXA KS 93034913 64948 8 XX4271 DEBITCARD 05/10 11:51,-24.16,,415.16
5/11/2026,COSTCO WHSE #03 LENEXA KS 99034914 05788 2 XX4271 POS PINNED 05/10 12:44,-659.04,,439.32
5/11/2026,TST BARLEYS KITC OVERLAND PARK KS 508029 99 530681 XX4271 DEBIT CARD 05/08 22:20,-47.22,,1098.36
5/6/2026,CAPITAL ONE CRCARDPMT CA0DD0F3063614D,-111.11,,1145.58
5/5/2026,ADC_3583_1855752 OLATHE KS 34896078 5332 42 XX4271 DEBIT CARD 05/04 12:47,-14.18,,1256.69
5/5/2026,HY-VEE OLATHE 14 OLATHE KS 83806437 5131 76 XX4271 DEBIT CARD 05/04 18:00,-50.47,,1270.87
5/4/2026,OLIVE GARDEN ZK OLATHE KS 96535517 23534 5 XX4271 DEBITCARD 05/01 20:52,-27.12,,1321.34
5/1/2026,GARMIN INTL. INC PAYROLL 442582630654VT5,,1246.36,1348.46
4/29/2026,QT 212 OLATHE KS 43023491 921563 XX4271 DEBIT CARD 04/27 23:10,-38.17,,102.1
4/28/2026,CHIPOTLE 3973 OLATHE KS 87595479 108603 XX4271 DEBIT CARD 04/27 12:19,-12.64,,140.27
4/27/2026,VENMO PAYMENT 1049855908139,-41,,152.91
4/24/2026,VENMO PAYMENT 1049803468376,-20,,193.91
4/23/2026,HY-VEE OLATHE 14 OLATHE KS 600001 021551 XX4271 DEBITCARD 04/23 13:28,-47.53,,213.91
4/22/2026,HY-VEE OLATHE 14 OLATHE KS 600001 035495 XX4271 DEBITCARD 04/21 18:19,-17.43,,261.44
4/21/2026,CHASE CREDIT CRD EPAY 9298982650,-900,,278.87
4/20/2026,XX4271 DEBIT CARD 04/19 13:00 GARMIN 800 5112459 KS 02917093 696671,-7.99,,1178.87
4/20/2026,HY-VEE OLATHE 14 OLATHE KS 89570050 8337 43 XX4271 DEBIT CARD 04/19 15:26,-119.51,,1186.86
4/20/2026,AGAVES OLATHE LL OLATHE KS 11514150 5748 85 XX4271 DEBIT CARD 04/18 19:30,-73.02,,1306.37
4/17/2026,GARMIN INTL. INC PAYROLL 936740557256VT5,,1246.36,1379.39
4/16/2026,IRS USATAXPYMT 200650642339353,-269,,133.03
4/15/2026,XX4271 DEBIT CARD 04/14 03:08 EX  900536 5 SCAR SALT LAKE CIT UT 16281268 257691,-175.69,,402.03
4/14/2026,HY-VEE OLATHE 14 OLATHE KS 600001 002906 XX4271 DEBITCARD 04/13 17:26,-17.51,,577.72
