Transaction Date,Description,Category,Debit,Credit
5/5/2026,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,111.11
4/29/2026,QT 219,Gas/Automotive,2.23,
4/27/2026,HY-VEE OLATHE 1464,Merchandise,102.56,
4/5/2026,HY-VEE OLATHE 1464,Merchandise,140.78,
3/11/2026,METLIFE PET,Insurance,,29.67
3/12/2026,CAPITAL ONE ONLINE PYMT,Payment/Credit,,67.02
3/11/2026,INTEREST CHARGE:CASH ADVANCES,Fee/Interest Charge,0.2,
3/11/2026,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,66.82,
3/8/2026,CAPITAL ONE MOBILE PYMT,Payment/Credit,,45.19
3/6/2026,CAPITAL ONE MOBILE PYMT,Payment/Credit,,769.93
3/5/2026,HY-VEE OLATHE 1464,Merchandise,45.19,
3/5/2026,CAPITAL ONE MOBILE PYMT,Payment/Credit,,500
3/4/2026,HY-VEE F&F OLATHE 5464,Gas/Automotive,24.44,
3/4/2026,CAPITAL ONE MOBILE PYMT,Payment/Credit,,3500
2/28/2026,HY-VEE OLATHE 1464,Merchandise,70.44,
2/27/2026,JOSE PEPPERS 13770,Dining,45.8,
2/26/2026,PLAYSTATION NETWORK,Entertainment,32.83,
2/24/2026,HY-VEE OLATHE 1464,Merchandise,105.96,
2/23/2026,1022 GREAT CLIPS 119TH,Other Services,29,
2/21/2026,HY-VEE OLATHE 1464,Merchandise,17.98,
2/22/2026,Scheels Overland Park,Merchandise,340.28,
2/21/2026,METLIFE PET,Insurance,75.53,
2/19/2026,QT 219,Gas/Automotive,1.55,
2/17/2026,HY-VEE OLATHE 1464,Merchandise,90.84,
2/16/2026,HY-VEE OLATHE 1464,Merchandise,27.31,
2/15/2026,JGILBERT OVERLAND P,Dining,146.49,
2/14/2026,PHILLIPS 66 - BRAKE TI,Gas/Automotive,1.65,
2/14/2026,HY-VEE OLATHE 1464,Merchandise,8.22,
2/10/2026,JOCO MOTOR VEHICLE OLA,Other Services,67.85,
2/10/2026,ELAVON SRV FEE JOCO DM,Other Services,1.53,
2/9/2026,PHILLIPS 66 - SEI 3017,Gas/Automotive,1.59,
2/8/2026,HY-VEE OLATHE 1464,Merchandise,9.75,
2/7/2026,JOSE PEPPERS 13770,Dining,44.88,
2/7/2026,INTEREST CHARGE:CASH ADVANCES,Fee/Interest Charge,0.24,
2/7/2026,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,86.49,
2/6/2026,HY-VEE OLATHE 1464,Merchandise,151.12,
2/6/2026,SHAWNEE CYCLE PLAZA,Gas/Automotive,118.85,
2/4/2026,CAPITAL ONE MOBILE PYMT,Payment/Credit,,800
1/23/2026,QUEEN'S PRICE CHOPPER,Merchandise,76.83,
1/21/2026,METLIFE PET,Insurance,75.53,
1/19/2026,SANTA FE PET CLINIC,Professional Services,171.5,
1/10/2026,INTEREST CHARGE:CASH ADVANCES,Fee/Interest Charge,0.26,
1/10/2026,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,65.72,
1/7/2026,HY-VEE OLATHE 1464,Merchandise,69.18,
1/7/2026,JOCO MOTOR VEHICLE OLA,Other Services,334.32,
1/7/2026,ELAVON SRV FEE JOCO DM,Other Services,7.52,
1/6/2026,COT*FLT,Other Travel,505.53,
1/3/2026,HY-VEE OLATHE 1464,Merchandise,122.66,
1/3/2026,CHIPOTLE 3973,Dining,20.58,
1/3/2026,CAPITAL ONE MOBILE PYMT,Payment/Credit,,100
1/2/2026,TST*ASIAN PEARL EM,Dining,7.7,
1/1/2026,TST*ASIAN PEARL EM,Dining,17.63,
