date,amount,balance,description,category
2026-02-13,1450,1450,Preauthorized Deposit from FIRST INTERSTATE BANK checking account XXXX5628,Credit
2026-02-13,145,1595,car insurance - Preauthorized Deposit from FIRST INTERSTATE BANK checking account XXXX5628,Credit
2026-02-17,0,1595,Prenote AH0217FI.001^ATT^PAYMENT^021026,Debit
2026-02-18,42,1637,ROKC membership - Preauthorized Deposit from FIRST INTERSTATE BANK checking account XXXX5628,Credit
2026-02-19,1320,2957,Deposit from GARMIN INTL. INC PAYROLL,Credit
2026-02-19,0,1637,Prenote AH0219EI.001^ATT^PAYMENT^021526,Debit
2026-02-20,20.7,2957,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-02-20,20.7,2977.7,ROKC extra payment - Preauthorized Deposit from FIRST INTERSTATE BANK checking account XXXX5628,Credit
2026-02-21,20.7,2936.3,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-02-24,283.66,2652.64,Withdrawal from STILLWATER INS INS PREM,Debit
2026-02-25,1185,3837.64,Deposit from FARMERS BANK & T PAYROLL,Credit
2026-02-28,20.7,3816.94,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-02-28,0.1,3817.04,Monthly Interest Paid,Credit
2026-03-02,2278.08,1538.96,Withdrawal from BH LIFE RENT BH LIFE RE,Debit
2026-03-04,300,1238.96,Withdrawal from DEPT EDUCATION STUDENT LN,Debit
2026-03-05,1375,2613.96,Deposit from GARMIN INTL. INC PAYROLL,Credit
2026-03-07,20.7,2593.26,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-03-12,24.99,1568.27,Debit Card Purchase - NETFLIX COM NETFLIX COM CA,Debit
2026-03-12,1000,1593.26,Preauthorized Withdrawal to FIRST INTERSTATE BANK checking account XXXX5628,Debit
2026-03-13,18.99,1125.74,Debit Card Purchase - SPOTIFY P404728AF[PHONE_REDACTED] NY,Debit
2026-03-13,0.22,1144.95,Deposit from AZURA CU ACCTVERIFY XXXX06,Credit
2026-03-13,0.42,1145.37,Deposit from AZURA CU ACCTVERIFY XXXX06,Credit
2026-03-13,0.64,1144.73,Withdrawal from AZURA CU ACCTVERIFY,Debit
2026-03-13,423.54,1144.73,Withdrawal from HONDA PMT [PHONE_REDACTED],Debit
2026-03-14,20.7,1105.04,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-03-16,63.16,898.88,Withdrawal from ATT PAYMENT,Debit
2026-03-16,143,962.04,Withdrawal from EVERGY KS CTRL AUTOPAY,Debit
2026-03-18,127.24,771.64,Withdrawal from ATT PAYMENT,Debit
2026-03-19,1375,2146.64,Deposit from GARMIN INTL. INC PAYROLL,Credit
2026-03-21,20.7,2125.94,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-03-24,283.66,1842.28,Withdrawal from STILLWATER INS INS PREM,Debit
2026-03-28,20.7,1821.58,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-03-29,1185,3006.58,Deposit from FARMERS BANK & T PAYROLL,Credit
2026-03-31,34.83,2971.75,Debit Card Purchase - ABC 20283 CRUNCH FITNE [PHONE_REDACTED] KS,Debit
2026-03-31,0.17,2971.92,Monthly Interest Paid,Credit
2026-04-01,18.99,2789.57,Debit Card Purchase - SPOTIFY NEW YORK NY,Debit
2026-04-01,163.36,2808.56,Withdrawal from BH LIFE RENT BH LIFE RE,Debit
2026-04-02,1375,2004.57,Deposit from GARMIN INTL. INC PAYROLL,Credit
2026-04-02,2160,629.57,Withdrawal from BH LIFE RENT BH LIFE RE,Debit
2026-04-04,20.7,1983.87,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-04-06,300,1683.87,Withdrawal from DEPT EDUCATION STUDENT LN,Debit
2026-04-09,273,1410.87,Labor day trip - Bailey - Preauthorized Withdrawal to FIRST INTERSTATE BANK checking account XXXX5628,Debit
2026-04-11,20.7,1390.17,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-04-13,24.99,1299.85,Debit Card Purchase - NETFLIX COM LOS GATOS CA,Debit
2026-04-13,65.33,1324.84,Withdrawal from ATT PAYMENT,Debit
2026-04-14,143,1156.85,Withdrawal from EVERGY KS CTRL AUTOPAY,Debit
2026-04-14,423.54,733.31,Withdrawal from HONDA PMT [PHONE_REDACTED],Debit
2026-04-16,1375,2108.31,Deposit from GARMIN INTL. INC PAYROLL,Credit
2026-04-18,20.7,2087.61,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-04-20,130.46,1957.15,Withdrawal from ATT PAYMENT,Debit
2026-04-24,283.66,1673.49,Withdrawal from STILLWATER INS INS PREM,Debit
2026-04-25,20.7,1652.79,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-04-28,1185,2837.79,Deposit from FARMERS BANK & T PAYROLL,Credit
2026-04-29,300,3137.79,Cha-Ching! New account bonus,Credit
2026-04-30,1375,4512.79,Deposit from GARMIN INTL. INC PAYROLL,Credit
2026-04-30,0.16,4512.95,Monthly Interest Paid,Credit
2026-05-01,34.83,2205.46,Debit Card Purchase - ABC 20283 CRUNCH FITNE [PHONE_REDACTED] KS,Debit
2026-05-01,18.99,2186.47,Debit Card Purchase - SPOTIFY NEW YORK NY,Debit
2026-05-01,2272.66,2240.29,Withdrawal from BH LIFE RENT BH LIFE RE,Debit
2026-05-02,20.7,2165.77,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-05-04,150,2015.77,Over funded loan 5-1-26 - Preauthorized Withdrawal to SECURITY BANK OF KANSAS CITY checking account XXXXXXXX8444,Debit
2026-05-05,300,1715.77,Withdrawal from DEPT EDUCATION STUDENT LN,Debit
2026-05-09,20.7,1695.07,Debit Card Purchase - FSP ROKC OLATHE OLATHE KS,Debit
2026-05-12,65.33,1629.74,Withdrawal from ATT PAYMENT,Debit
