date,amount,balance,description,category
2026-01-01,17.63,,Asian Pearl,Charge
2026-01-02,7.70,,Asian Pearl,Charge
2026-01-03,100.00,,CAPITAL ONE MOBILE PYMT,Payment
2026-01-03,20.58,,Chipotle,Charge
2026-01-03,122.66,,Hy-Vee Grocery,Charge
2026-01-06,505.53,,COT*FLT,Charge
2026-01-07,7.52,,ELAVON SRV FEE JOCO DM,Charge
2026-01-07,69.18,,Hy-Vee Grocery,Charge
2026-01-07,334.32,,JOCO MOTOR VEHICLE OLA,Charge
2026-01-10,0.26,,INTEREST CHARGE:CASH ADVANCES,Charge
2026-01-10,65.72,,INTEREST CHARGE:PURCHASES,Charge
2026-01-19,171.50,,SANTA FE PET CLINIC,Charge
2026-01-21,75.53,,METLIFE PET,Charge
2026-01-23,76.83,,QUEEN'S PRICE CHOPPER,Charge
2026-02-04,800.00,,CAPITAL ONE MOBILE PYMT,Payment
2026-02-06,151.12,,Hy-Vee Grocery,Charge
2026-02-06,118.85,,SHAWNEE CYCLE PLAZA,Charge
2026-02-07,0.24,,INTEREST CHARGE:CASH ADVANCES,Charge
2026-02-07,86.49,,INTEREST CHARGE:PURCHASES,Charge
2026-02-07,44.88,,Jose Peppers,Charge
2026-02-08,9.75,,Hy-Vee Grocery,Charge
2026-02-09,1.59,,PHILLIPS 66 - SEI 3017,Charge
2026-02-10,1.53,,ELAVON SRV FEE JOCO DM,Charge
2026-02-10,67.85,,JOCO MOTOR VEHICLE OLA,Charge
2026-02-14,8.22,,Hy-Vee Grocery,Charge
2026-02-14,1.65,,PHILLIPS 66 - BRAKE TI,Charge
2026-02-15,146.49,,JGILBERT OVERLAND P,Charge
2026-02-16,27.31,,Hy-Vee Grocery,Charge
2026-02-17,90.84,,Hy-Vee Grocery,Charge
2026-02-19,1.55,,QT 219,Charge
2026-02-21,17.98,,Hy-Vee Grocery,Charge
2026-02-21,75.53,,METLIFE PET,Charge
2026-02-22,340.28,,Scheels Overland Park,Charge
2026-02-23,29.00,,1022 GREAT CLIPS 119TH,Charge
2026-02-24,105.96,,Hy-Vee Grocery,Charge
2026-02-26,32.83,,PLAYSTATION NETWORK,Charge
2026-02-27,45.80,,Jose Peppers,Charge
2026-02-28,70.44,,Hy-Vee Grocery,Charge
2026-03-04,3500.00,,CAPITAL ONE MOBILE PYMT,Payment
2026-03-04,24.44,,Hy-Vee Grocery,Charge
2026-03-05,500.00,,CAPITAL ONE MOBILE PYMT,Payment
2026-03-05,45.19,,Hy-Vee Grocery,Charge
2026-03-06,769.93,,CAPITAL ONE MOBILE PYMT,Payment
2026-03-08,45.19,,CAPITAL ONE MOBILE PYMT,Payment
2026-03-11,0.20,,INTEREST CHARGE:CASH ADVANCES,Charge
2026-03-11,66.82,,INTEREST CHARGE:PURCHASES,Charge
2026-03-11,29.67,,METLIFE PET,Payment
2026-03-12,67.02,,CAPITAL ONE ONLINE PYMT,Payment
2026-04-05,140.78,,Hy-Vee Grocery,Charge
2026-04-27,102.56,,Hy-Vee Grocery,Charge
2026-04-29,2.23,,QT 219,Charge
2026-05-05,111.11,,CAPITAL ONE AUTOPAY PYMT,Payment
